meanNDVI,names,area,date,plot,type,year
0.7590922770591882,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D1,KJ,2018-07-27,KJ-D1,D,2018
0.6673156270749458,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C1,KJ,2018-07-27,KJ-C1,C,2018
0.7734935933198684,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C3,KJ,2018-07-27,KJ-C3,C,2018
0.7900530413327465,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D3,KJ,2018-07-27,KJ-D3,D,2018
0.7590151911086225,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C5,KJ,2018-07-27,KJ-C5,C,2018
0.7790701947364199,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D5,KJ,2018-07-27,KJ-D5,D,2018
0.7688681212338534,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D2,KJ,2018-07-27,KJ-D2,D,2018
0.6759083918784852,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C2,KJ,2018-07-27,KJ-C2,C,2018
0.7687187119692314,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-C4,KJ,2018-07-27,KJ-C4,C,2018
0.7038627322213056,2018.07.27_KJ_seq_msp_index_ndvi_snow.tif.KJ-D4,KJ,2018-07-27,KJ-D4,D,2018
0.6244949190605916,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D1,KJ,2019-08-04,KJ-D1,D,2019
0.7271660284934638,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C1,KJ,2019-08-04,KJ-C1,C,2019
0.737077696614911,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C3,KJ,2019-08-04,KJ-C3,C,2019
0.6861632250464011,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D3,KJ,2019-08-04,KJ-D3,D,2019
0.7539320056572621,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C5,KJ,2019-08-04,KJ-C5,C,2019
0.7643147775665723,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D5,KJ,2019-08-04,KJ-D5,D,2019
0.740608991024106,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D2,KJ,2019-08-04,KJ-D2,D,2019
0.6837306510065203,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C2,KJ,2019-08-04,KJ-C2,C,2019
0.7353647302026334,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-C4,KJ,2019-08-04,KJ-C4,C,2019
0.6251437664031982,2019.08.04_KJ_seq_msp_index_ndvi_snow.tif.KJ-D4,KJ,2019-08-04,KJ-D4,D,2019
0.7781973708860622,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-C1,NF,2018-07-30,NF-C1,C,2018
0.7421777759828875,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-D1,NF,2018-07-30,NF-D1,D,2018
0.62510696245778,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-C2,NF,2018-07-30,NF-C2,C,2018
0.7192490838075939,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-D2,NF,2018-07-30,NF-D2,D,2018
0.7974519901588315,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-C3,NF,2018-07-30,NF-C3,C,2018
0.8015682585410291,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-D3,NF,2018-07-30,NF-D3,D,2018
0.4907196665963819,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-C4,NF,2018-07-30,NF-C4,C,2018
0.479913191309253,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-D4,NF,2018-07-30,NF-D4,D,2018
0.7720605093379354,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-C5,NF,2018-07-30,NF-C5,C,2018
0.78951238178816,2018.07.30_NF_seq_msp_index_ndvi_snow.tif.NF-D5,NF,2018-07-30,NF-D5,D,2018
0.7413174607121525,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-C1,NF,2019-07-27,NF-C1,C,2019
0.6697908713420232,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-D1,NF,2019-07-27,NF-D1,D,2019
0.6362737993399302,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-C2,NF,2019-07-27,NF-C2,C,2019
0.701785144997281,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-D2,NF,2019-07-27,NF-D2,D,2019
0.7788446593604632,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-C3,NF,2019-07-27,NF-C3,C,2019
0.7616532536975125,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-D3,NF,2019-07-27,NF-D3,D,2019
0.4993652177370147,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-C4,NF,2019-07-27,NF-C4,C,2019
0.49676537433994256,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-D4,NF,2019-07-27,NF-D4,D,2019
0.7499844893461928,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-C5,NF,2019-07-27,NF-C5,C,2019
0.7599702754546966,2019.07.27_NF_seq_266_msp_index_ndvi_snow.tif.NF-D5,NF,2019-07-27,NF-D5,D,2019
0.6814241265508452,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-C1,NT,2018-07-28,NT-C1,C,2018
0.7819806895256043,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-D1,NT,2018-07-28,NT-D1,D,2018
0.753118842251216,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-C3,NT,2018-07-28,NT-C3,C,2018
0.7291233456183853,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-D3,NT,2018-07-28,NT-D3,D,2018
0.6531224257833376,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-D5,NT,2018-07-28,NT-D5,D,2018
0.640920936122654,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-C5,NT,2018-07-28,NT-C5,C,2018
0.7467126976560663,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-C4,NT,2018-07-28,NT-C4,C,2018
0.7363753687767756,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-D4,NT,2018-07-28,NT-D4,D,2018
0.6981491252779961,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-D2,NT,2018-07-28,NT-D2,D,2018
0.7005646783252095,2018.07.28_NT_seq_msp_index_ndvi_snow.tif.NT-C2,NT,2018-07-28,NT-C2,C,2018
0.6973724903638471,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-C1,NT,2019-07-31,NT-C1,C,2019
0.6862815870011406,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-D1,NT,2019-07-31,NT-D1,D,2019
0.7531157954599847,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-C3,NT,2019-07-31,NT-C3,C,2019
0.6733433748200789,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-D3,NT,2019-07-31,NT-D3,D,2019
0.6064538542301424,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-D5,NT,2019-07-31,NT-D5,D,2019
0.6268615184060062,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-C5,NT,2019-07-31,NT-C5,C,2019
0.7412323669996113,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-C4,NT,2019-07-31,NT-C4,C,2019
0.6724626666733197,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-D4,NT,2019-07-31,NT-D4,D,2019
0.6917572652807041,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-D2,NT,2019-07-31,NT-D2,D,2019
0.7356350603626995,2019.07.31_NT_seq_276_msp_index_ndvi_snow.tif.NT-C2,NT,2019-07-31,NT-C2,C,2019
0.7393018293790039,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-C1,VJ,2018-07-29,VJ-C1,C,2018
0.7390033920258934,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-D1,VJ,2018-07-29,VJ-D1,D,2018
0.7403148498597624,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-C2,VJ,2018-07-29,VJ-C2,C,2018
0.750039534724277,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-D2,VJ,2018-07-29,VJ-D2,D,2018
0.7444018643835316,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-C3,VJ,2018-07-29,VJ-C3,C,2018
0.7626502630385485,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-D3,VJ,2018-07-29,VJ-D3,D,2018
0.7653468923758616,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-C4,VJ,2018-07-29,VJ-C4,C,2018
0.8173070114591847,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-D4,VJ,2018-07-29,VJ-D4,D,2018
0.5935022954502677,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-C5,VJ,2018-07-29,VJ-C5,C,2018
0.7151601142353482,2018.07.29_VJ_seq_msp_index_ndvi_snow.tif.VJ-D5,VJ,2018-07-29,VJ-D5,D,2018
0.7004362180222213,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-C1,VJ,2019-08-03,VJ-C1,C,2019
0.627962505495226,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-D1,VJ,2019-08-03,VJ-D1,D,2019
0.7229633737694133,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-C2,VJ,2019-08-03,VJ-C2,C,2019
0.711289831109949,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-D2,VJ,2019-08-03,VJ-D2,D,2019
0.7077891131687591,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-C3,VJ,2019-08-03,VJ-C3,C,2019
0.6667334698650935,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-D3,VJ,2019-08-03,VJ-D3,D,2019
0.7537118591166831,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-C4,VJ,2019-08-03,VJ-C4,C,2019
0.7925968830649918,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-D4,VJ,2019-08-03,VJ-D4,D,2019
0.5971668491848802,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-C5,VJ,2019-08-03,VJ-C5,C,2019
0.6716865294265307,2019.08.03_VJ_seq_msp_index_ndvi_snow.tif.VJ-D5,VJ,2019-08-03,VJ-D5,D,2019
